Address,Rent (£ pa),Size (sq. ft)
"Berkeley Place, Clifton, Bristol, BS8 1EH",35000,4865
"41 High Street, Shirehampton, Bristol, City of Bristol, BS11",15000,1968
"149A, Crow Lane, Henbury, Bristol, BS10 7DR",30000,3765
"42 Regent Street, Kingswood, South West, BS15",30000,2813
"13 Carlton Court, Canford Lane, Bristol, City Of Bristol, BS9",12500,1049
"11 Canford Lane, Bristol, City Of Bristol, BS9",30000,2508
"29 The Horsefair, Bristol, BS1 3JL",60000,4766
"Ground Floor, Unit 15 Union Gate, Bristol, City Of Bristol",50000,3923
"5-6 Oatlands Avenue, Bristol, City Of Bristol, BS14 0SX",20000,2713
"68 Whiteladies Road, Bristol, BS8 2QA",30000,2259
"51-53 Merchant Street, Bristol, BS1 3EE",65000,4328
"13 Marsh Street, Bristol, City Of Bristol, BS1",16000,983
"9 Regent Street, Clifton, Bristol, City of Bristol, BS8",14000,747
"The Shield Retail Centre, Link Road, Filton, Bristol, Gloucestershire",132000,6903
"43 North Road, Stoke Gifford, Bristol, Gloucestershire",55000,2841
"253 Henleaze Road, Bristol, City Of Bristol, BS9",12000,607
"Unit 4 Uniongate, Union Street, Bristol, BS1 2DL",70000,3493
"Unit 1B, Waverley House, Cathedral Walk, Bristol, City Of Bristol, BS1",18500,898
"25-27 Clare Street, Bristol, City of Bristol, BS1",55000,2645
"6-7 The Arcade, Bristol, City Of Bristol",32500,1507
"8 and 8a Durdham Park, Bristol, City Of Bristol, BS6",70000,2948
"Bristol-Clifton Down, Unit 12, Clifton Down Shopping Centre, Whiteladies Road, Bristol, BS8 2NN",36000,1496
"8a Durdham Park, Bristol, City Of Bristol, BS6",26000,1042
"59 Queens Road, Clifton, Bristol, BS8 1QL",39500,1498
"326 Church Road, St. George, Bristol, City Of Bristol, BS5",18000,660
"102 Whiteladies Road, Clifton, Bristol, City of Bristol, BS8",35000,1276
"28 Baldwin Street, Bristol, BS1 1SE",99750,3389
"19 Canford Lane, Bristol, City Of Bristol, BS9",20000,674
"821 Bath Road, Brislington, Bristol, BS4 5NL",32000,1131
"57 Queens Road, Clifton, Bristol, BS8",37500,1200
"48 Park Street, Bristol, BS1 5JG",48500,1501
"98 Whiteladies Road, Bristol, City Of Bristol, BS8",25000,772
"27-29 College Green, Bristol, BS1 5TB",70000,2267
"87 Whiteladies Road, Bristol, City Of Bristol, BS8",35000,968
